NAME,CODE,ELEV,LAT,LON,COUNTY,AGENCY,km3_storage
STAMPEDE,STP,5956,39.471,-120.103,SIERRA,US Geological Survey,0.105653782
INDEPENDENCE LAKE,INL,6952,39.45,-120.283,SIERRA,Sierra County,0.016870314
BOCA RESERVOIR,BOC,5521,39.383,-120.1,NEVADA,US Bureau of Reclamation,0.029096574
PROSSER CREEK RESERVOIR,PRS,5622,39.3794,-120.1367,NEVADA,US Bureau of Reclamation,0.015984675
MARTIS CREEK RESERVOIR,MRT,5745,39.327,-120.113,NEVADA,US Army Corps of Engineers,0.001043525
DONNER LAKE (STORAGE),DNL,5938,39.324,-120.233,NEVADA,Sierra County,0.00982714
LAKE TAHOE,TAH,6221,39.181,-120.118,PLACER,US Bureau of Reclamation,0.187242357
BRIDGEPORT RESERVOIR,BDP,6466,38.325,-119.211,MONO,USGS and DWR,0.011943793
SADDLEBAG LAKE RESERVOIR,SDB,10090,37.966,-119.272,MONO,"Southern California Edison Company, Big Creek",0.00284934
GRANT LAKE,GNT,7140,37.862,-119.102,MONO,City of Los Angeles; Dept of Water and Power,0.028381155
GEM LAKE,GLK,9054,37.752,-119.14,MONO,"Southern California Edison Company, Big Creek",0.011656392
LAKE CROWLEY,CRW,6797,37.604,-118.707,MONO,City of Los Angeles; Dept of Water and Power,0.133909122
PLEASANT VALLEY RESERVOIR,PVR,4400,37.423578,-118.583576,INYO,City of Los Angeles; Dept of Water and Power,0.003216917
SOUTH LAKE,SLK,9600,37.175903,-118.56266,INYO,CA Dept of Water Resources/Snow Surveys,0.003984142
TINEMAHA RESERVOIR,TNM,3882,37.058,-118.225,INYO,City of Los Angeles; Dept of Water and Power,0.003906433
HAIWEE,HWE,3774,36.137,-117.948,INYO,City of Los Angeles; Dept of Water and Power,0.028770935
FAIRMONT RESERVOIR,FMT,3060,34.711777,-118.433462,LOS ANGELES,City of Los Angeles; Dept of Water and Power,0.000347842
LAKE SILVERWOOD,SLW,3331,34.304,-117.318,SAN BERNARDINO,CA Dept of Water Resources/Operations and Maintenance,0.082096769
